datetime,total_demand,forecast,Other,Hydro Water Reservoir,Nuclear,Wind Onshore,Solar
2022-01-01 00:00:00,15331.0,14904.0,1264.88,7015.42,5842.0,4044.65,0.0
2022-01-01 01:00:00,15331.0,14760.0,1273.08,7086.16,5839.0,4021.43,0.0
2022-01-01 02:00:00,15270.0,14678.0,1277.43,7087.87,5839.0,3948.19,0.0
2022-01-01 03:00:00,15150.0,14730.0,1276.73,6745.68,5840.0,3763.19,0.0
2022-01-01 04:00:00,15387.0,14966.0,1301.19,7173.1,5839.0,3597.12,0.0
2022-01-01 05:00:00,15737.0,15388.0,1334.41,7497.4,5839.0,3355.2,0.0
2022-01-01 06:00:00,16054.0,15860.0,1422.89,7973.47,5840.0,3134.83,0.0
2022-01-01 07:00:00,16455.0,16251.0,1469.49,8819.86,5840.0,2936.98,0.11
2022-01-01 08:00:00,16943.0,16597.0,1480.14,9060.39,5840.0,2712.52,1.03
2022-01-01 09:00:00,17476.0,17086.0,1534.92,9219.99,5840.0,2441.11,7.1
2022-01-01 10:00:00,17657.0,17508.0,1559.47,9252.62,5884.0,2140.96,12.77
2022-01-01 11:00:00,17521.0,17737.0,1562.09,9218.13,6062.0,1894.1,12.27
2022-01-01 12:00:00,17542.0,17918.0,1563.49,9238.36,6208.0,1770.43,7.86
2022-01-01 13:00:00,17783.0,18254.0,1565.31,9408.78,6275.0,1722.65,2.23
2022-01-01 14:00:00,18417.0,18857.0,1564.61,9812.84,6275.0,1802.86,0.2
2022-01-01 15:00:00,18620.0,19407.0,1570.27,10094.49,6329.0,2043.18,0.1
2022-01-01 16:00:00,18778.0,19579.0,1583.43,10114.75,6344.0,2459.02,0.1
2022-01-01 17:00:00,18621.0,19420.0,1583.79,9944.77,6344.0,2985.3,0.0
2022-01-01 18:00:00,17942.0,19086.0,1582.75,9775.41,6349.0,3449.54,0.0
2022-01-01 19:00:00,17481.0,18574.0,1588.85,9553.45,6353.0,4114.01,0.0
2022-01-01 20:00:00,17048.0,18009.0,1590.27,9212.04,6354.0,4848.43,0.0
2022-01-01 21:00:00,16461.0,17364.0,1574.74,8741.52,6354.0,5364.22,0.0
2022-01-01 22:00:00,16048.0,16778.0,1482.45,8331.98,6356.0,5716.38,0.0
2022-01-01 23:00:00,15924.0,15987.0,1370.92,7065.49,6359.0,6176.54,0.0
2022-01-02 00:00:00,15328.0,15601.0,1306.61,6519.12,6357.0,6234.03,0.0
2022-01-02 01:00:00,15037.0,15328.0,1259.9,6271.25,6359.0,6296.13,0.0
2022-01-02 02:00:00,14770.0,15183.0,1257.99,5352.89,6357.0,6257.24,0.0
2022-01-02 03:00:00,14706.0,15193.0,1285.8,5055.98,6359.0,6033.65,0.0
2022-01-02 04:00:00,14752.0,15319.0,1290.2,5120.09,6360.0,5732.19,0.0
2022-01-02 05:00:00,15202.0,15641.0,1281.66,5447.89,6361.0,5394.44,0.0
2022-01-02 06:00:00,15916.0,16083.0,1342.73,6597.31,6360.0,5003.59,0.0
2022-01-02 07:00:00,16545.0,16669.0,1383.66,7220.83,6361.0,4737.95,0.02
2022-01-02 08:00:00,16960.0,17198.0,1465.44,8377.97,6360.0,4386.83,0.4
2022-01-02 09:00:00,17299.0,17644.0,1482.61,8845.16,6359.0,4094.57,2.65
2022-01-02 10:00:00,17428.0,17888.0,1505.64,9035.51,6359.0,3771.05,4.75
2022-01-02 11:00:00,17553.0,17946.0,1513.25,9128.62,6359.0,3636.23,4.62
2022-01-02 12:00:00,17792.0,17902.0,1510.83,9257.18,6360.0,3356.3,3.23
2022-01-02 13:00:00,17912.0,17960.0,1516.01,9462.27,6387.0,3092.26,0.74
2022-01-02 14:00:00,18077.0,18352.0,1474.39,9710.59,6412.0,2809.71,0.07
2022-01-02 15:00:00,18265.0,18853.0,1518.77,9775.77,6414.0,2604.29,0.0
2022-01-02 16:00:00,18541.0,18996.0,1537.72,9904.22,6413.0,2461.78,0.0
2022-01-02 17:00:00,18424.0,18802.0,1525.93,9770.21,6414.0,2421.29,0.0
2022-01-02 18:00:00,18010.0,18437.0,1531.53,9569.17,6414.0,2359.7,0.0
2022-01-02 19:00:00,17305.0,17911.0,1469.53,9393.62,6413.0,2369.24,0.0
2022-01-02 20:00:00,16546.0,17297.0,1438.72,8604.72,6414.0,2409.65,0.0
2022-01-02 21:00:00,16269.0,16588.0,1443.32,8363.72,6413.0,2610.1,0.0
