datetime,se3_metered_consumption_excluding_interruptible_load,se3_interruptible_load,se3_profiled_supply_consumption,se3_metered_consumption_over_50mw,se3_energy_storage_consumption
2018-01-01 00:00:00,-5082.332338999999,-35.379498,-4146.389119,,
2018-01-01 01:00:00,-5068.952361000001,-33.090146,-3985.215149,,
2018-01-01 02:00:00,-5045.623694000001,-32.91795,-3840.439564,,
2018-01-01 03:00:00,-5018.433270999999,-32.660058,-3693.665116,,
2018-01-01 04:00:00,-5010.117104999999,-32.197542,-3609.149193,,
2018-01-01 05:00:00,-5148.275043999999,-32.529714,-3590.858408,,
2018-01-01 06:00:00,-5234.08446,-44.57242,-3617.23348,,
2018-01-01 07:00:00,-5388.09045,-47.870542,-3665.281971,,
2018-01-01 08:00:00,-5498.521164,-38.716566,-3754.107505,,
2018-01-01 09:00:00,-5557.780453,-35.640862,-3878.257666,,
2018-01-01 10:00:00,-5547.700312999999,-33.445106,-4138.457039,,
2018-01-01 11:00:00,-5642.597281,-32.168982,-4328.758136,,
2018-01-01 12:00:00,-5660.446218,-32.556834,-4473.131629,,
2018-01-01 13:00:00,-5675.042070999999,-31.673362,-4545.498615,,
2018-01-01 14:00:00,-5723.161019000001,-34.042638,-4637.717629,,
2018-01-01 15:00:00,-5854.729332999999,-37.251962,-4848.759107,,
2018-01-01 16:00:00,-5857.721891999999,-37.849618,-5014.34807,,
2018-01-01 17:00:00,-5796.831110999999,-30.884814,-5070.00787,,
2018-01-01 18:00:00,-5691.342164000001,-30.341006,-5047.094189,,
2018-01-01 19:00:00,-5629.743127000001,-30.31293,-4897.237661,,
2018-01-01 20:00:00,-5508.907999999999,-29.31537,-4682.599674,,
2018-01-01 21:00:00,-5396.17107,-32.358574,-4431.273194,,
2018-01-01 22:00:00,-5330.887226999999,-33.26819,-4152.451878,,
2018-01-01 23:00:00,-5307.597707000001,-33.57421,-3847.235153,,
2018-01-02 00:00:00,-5337.471834000002,-34.347698,-3633.141816,,
2018-01-02 01:00:00,-5323.654691000001,-34.648814,-3507.79616,,
2018-01-02 02:00:00,-5344.646166000001,-34.372294,-3464.307964,,
2018-01-02 03:00:00,-5357.568373,-33.638574,-3452.370094,,
2018-01-02 04:00:00,-5348.54451,-32.500286,-3496.162081,,
2018-01-02 05:00:00,-5731.657839,-32.874298,-3620.012668,,
2018-01-02 06:00:00,-6387.812334000001,-39.607432,-3840.280265,,
2018-01-02 07:00:00,-7092.543344999999,-43.433234,-4046.382716,,
2018-01-02 08:00:00,-7423.543299999998,-47.87819,-4190.228546,,
2018-01-02 09:00:00,-7396.402272999999,-43.791758,-4267.804237,,
2018-01-02 10:00:00,-7484.810183,-44.609886,-4353.57067,,
2018-01-02 11:00:00,-7491.151455,-43.900434,-4371.432974,,
2018-01-02 12:00:00,-7517.685562999999,-50.304134,-4358.159364,,
2018-01-02 13:00:00,-7505.340981,-49.235928,-4351.718003,,
2018-01-02 14:00:00,-7475.189030000001,-59.714878,-4391.714599,,
2018-01-02 15:00:00,-7585.80655,-60.868374,-4655.044479,,
2018-01-02 16:00:00,-7448.822726999999,-45.634582,-5000.888528,,
2018-01-02 17:00:00,-7291.4144510000015,-45.241762,-5234.890186,,
2018-01-02 18:00:00,-7036.756259000001,-42.442002,-5234.019069,,
2018-01-02 19:00:00,-6873.241173,-44.168694,-5106.728433,,
2018-01-02 20:00:00,-6624.520629,-44.805458,-4904.856149,,
2018-01-02 21:00:00,-6374.332133,-45.457434,-4657.931445,,
2018-01-02 22:00:00,-6135.303228,-46.713598,-4316.100344,,
2018-01-02 23:00:00,-5932.417243000001,-45.685434,-3984.723769,,
2018-01-03 00:00:00,-5774.187062,-50.770494,-3754.275532,,
2018-01-03 01:00:00,-5720.046537,-48.260886,-3645.130986,,
2018-01-03 02:00:00,-5783.649088000001,-45.232658,-3598.507961,,
2018-01-03 03:00:00,-5795.379873999999,-45.313432,-3567.661501,,
2018-01-03 04:00:00,-5866.6055,-43.34631,-3605.42675,,
2018-01-03 05:00:00,-6172.396201999999,-46.712822,-3744.895081,,
2018-01-03 06:00:00,-6805.117609000001,-49.122054,-3984.235914,,
2018-01-03 07:00:00,-7420.579581,-48.676618,-4203.703493,,
2018-01-03 08:00:00,-7674.664923999999,-47.60817,-4350.151866,,
2018-01-03 09:00:00,-7617.339154,-47.559938,-4426.437011,,
2018-01-03 10:00:00,-7830.696723000002,-43.22571,-4524.086127,,
2018-01-03 11:00:00,-7792.699501,-47.941346,-4573.935723,,
2018-01-03 12:00:00,-7770.803091999999,-47.68729,-4636.166502,,
2018-01-03 13:00:00,-7858.270041000001,-46.83833,-4635.554872,,
2018-01-03 14:00:00,-7898.451642,-45.356506,-4679.763226,,
2018-01-03 15:00:00,-7910.469113,-50.200986,-4922.846152,,
2018-01-03 16:00:00,-7719.433600000001,-49.814598,-5191.313254,,
2018-01-03 17:00:00,-7489.793929,-45.904458,-5388.744841,,
2018-01-03 18:00:00,-7276.103316,-45.386982,-5374.427646,,
2018-01-03 19:00:00,-7052.979985,-47.313742,-5234.004675,,
