datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-01 00:00:00,-28.075403,-52.288821,-312.810246,-94.713027,,,,
2018-01-01 01:00:00,-27.464304,-50.574203,-299.41034,-91.175143,,,,
2018-01-01 02:00:00,-26.685033,-48.943735,-288.456633,-87.410734,,,,
2018-01-01 03:00:00,-25.991393,-47.68214,-277.178742,-83.639353,,,,
2018-01-01 04:00:00,-25.749979,-47.189229,-270.630666,-81.697897,,,,
2018-01-01 05:00:00,-25.674318,-47.238592,-269.482595,-81.533476,,,,
2018-01-01 06:00:00,-25.850653,-47.831416,-271.094149,-82.833169,,,,
2018-01-01 07:00:00,-26.097502,-48.450731,-274.397961,-84.472653,,,,
2018-01-01 08:00:00,-26.731634,-49.494517,-281.164507,-86.110898,,,,
2018-01-01 09:00:00,-27.075266,-50.493991,-290.697082,-89.476168,,,,
2018-01-01 10:00:00,-27.597376,-52.260775,-309.592182,-95.989837,,,,
2018-01-01 11:00:00,-28.707389,-53.250262,-321.984571,-101.26238,,,,
2018-01-01 12:00:00,-29.003979,-53.481028,-334.046469,-104.596744,,,,
2018-01-01 13:00:00,-29.292064,-53.318322,-340.513622,-106.793051,,,,
2018-01-01 14:00:00,-30.166381,-54.46195,-348.336544,-109.638921,,,,
2018-01-01 15:00:00,-30.878624,-57.220076,-364.836368,-113.912071,,,,
2018-01-01 16:00:00,-31.342268,-58.758894,-377.15224,-121.64888,,,,
2018-01-01 17:00:00,-31.039536,-58.483212,-381.990585,-124.025933,,,,
2018-01-01 18:00:00,-30.682539,-57.338786,-380.336681,-123.338134,,,,
2018-01-01 19:00:00,-30.087249,-55.557146,-368.550652,-119.366654,,,,
2018-01-01 20:00:00,-29.123902,-53.329896,-352.312196,-113.808664,,,,
2018-01-01 21:00:00,-27.981526,-50.977806,-333.574092,-107.313143,,,,
2018-01-01 22:00:00,-26.740927,-48.401356,-312.41542,-100.293771,,,,
2018-01-01 23:00:00,-25.210839,-45.310937,-289.428692,-92.304544,,,,
2018-01-02 00:00:00,-24.283178,-43.170081,-273.100213,-87.058676,,,,
2018-01-02 01:00:00,-23.780267,-41.907031,-263.664602,-83.867334,,,,
2018-01-02 02:00:00,-23.647486,-41.535995,-260.590622,-83.029483,,,,
2018-01-02 03:00:00,-23.758897,-41.699641,-259.377448,-82.690815,,,,
2018-01-02 04:00:00,-24.226581,-42.596409,-262.692616,-83.681347,,,,
2018-01-02 05:00:00,-24.910858,-44.211204,-271.878273,-86.378504,,,,
2018-01-02 06:00:00,-25.841685,-46.258508,-287.832949,-92.173,,,,
2018-01-02 07:00:00,-26.487588,-47.830105,-303.599475,-97.974469,,,,
2018-01-02 08:00:00,-27.108052,-49.347967,-315.119144,-100.913778,,,,
2018-01-02 09:00:00,-27.289014,-50.000883,-321.752532,-102.777868,,,,
2018-01-02 10:00:00,-27.538712,-50.585229,-327.841411,-104.974487,,,,
2018-01-02 11:00:00,-27.770461,-50.488765,-329.270097,-105.501555,,,,
2018-01-02 12:00:00,-27.82973,-50.267288,-327.533929,-105.114859,,,,
2018-01-02 13:00:00,-27.818952,-50.118266,-328.264038,-103.83657,,,,
2018-01-02 14:00:00,-28.773952,-51.211276,-331.043253,-103.569787,,,,
2018-01-02 15:00:00,-29.811316,-54.910136,-351.217447,-108.321349,,,,
2018-01-02 16:00:00,-30.748671,-58.083907,-377.387993,-120.435021,,,,
2018-01-02 17:00:00,-30.942097,-59.155448,-395.082111,-126.875923,,,,
2018-01-02 18:00:00,-30.164579,-58.046379,-394.10309,-126.534868,,,,
2018-01-02 19:00:00,-29.581462,-56.675751,-383.93591,-122.791397,,,,
2018-01-02 20:00:00,-28.87197,-54.931316,-369.710504,-116.559339,,,,
2018-01-02 21:00:00,-27.95381,-53.389726,-351.492408,-109.810288,,,,
2018-01-02 22:00:00,-26.463927,-51.033346,-324.50882,-102.132309,,,,
2018-01-02 23:00:00,-24.9529,-48.554984,-299.568614,-94.123891,,,,
